x,y,speed,lookahead
-1.191128211958742,0.029751391568819698,5.126596070720957,1.3851534240570007
-1.1310332478391565,0.008609864338998578,5.213530358527177,1.4082341790427668
-1.0704673146234995,-0.011338139336886372,5.300464646333397,1.431314934028533
-1.0095529951783349,-0.030300923664762097,5.387398934139619,1.4543956890142995
-0.9484128723702336,-0.04848679285055386,5.474333221945837,1.4774764440000652
-0.8871695290657577,-0.06610405110018942,5.561267509752057,1.5005571989858313
-0.8258026885930562,-0.08313105048291376,5.6502562887079755,1.5243990081505188
-0.7641581611720631,-0.09931573599125046,5.739547198715324,1.5483527370474017
-0.7022755334642795,-0.11470744747159639,5.828838108722668,1.5723064659442836
-0.6401972621543576,-0.1293600747770226,5.9181290187300135,1.5962601948411654
-0.5779658039269512,-0.14332750776059933,6.007419928737358,1.620213923738047
-0.5156236154667149,-0.15666363627539678,6.096710838744702,1.644167652634929
-0.453189240866611,-0.16934270976618807,6.187794216320424,1.6687787600940447
-0.3905448180136987,-0.1809518247932437,6.2809688060592554,1.6941568092091008
-0.32772092877237413,-0.19168481036856547,6.374143395798082,1.7195348583241559
-0.2647817524119719,-0.20185650488823886,6.46731798553691,1.744912907439211
-0.20179146820182964,-0.2117817467483489,6.560492575275737,1.770290956554266
-0.13881425541128484,-0.22177537434498065,6.653667165014565,1.7956690056693212
-0.07591412372226118,-0.23215141376889464,6.7441270620989116,1.8203076514372747
-0.013071865512122615,-0.2428225312113442,6.7843651450752915,1.8312673352838322
0.0497646466232924,-0.25353374174664345,6.824603228051672,1.8422270191303898
0.11259978180662303,-0.26425657131649133,6.864841311028053,1.8531867029769473
0.17543790916050844,-0.2749625458625865,6.905079394004434,1.8641463868235049
0.23828339780759064,-0.2856231913266283,6.945317476980817,1.8751060706700629
0.30114061687050325,-0.29621003365031434,6.985555559957197,1.8860657545166204
0.3639990905324903,-0.3068072086845611,7,1.89
0.4268229404184218,-0.31768689276146944,7,1.89
0.4896391444201163,-0.3286389547975656,7,1.89
0.5524799342090918,-0.3394131870455891,7,1.89
0.6153775414568687,-0.3497593817582795,7,1.89
0.6783641978349594,-0.35942733118837544,7,1.89
0.741471405650537,-0.368175390020601,7,1.89
0.8046993130593629,-0.3760628592338591,7,1.89
0.8680237583328432,-0.3832618612246833,7,1.89
0.9314234004918035,-0.38988517806942735,7,1.89
0.9948768985570575,-0.396045591844444,7,1.89
1.0583629115494368,-0.4018558846260876,7,1.89
1.121860098489764,-0.40742883849071193,7,1.89
1.1853746020343157,-0.4126716561815363,7,1.89
1.2489407608403593,-0.41733998759209023,7,1.89
1.3125436496948855,-0.4216055011806162,7,1.89
1.3761670557845145,-0.4256500736858808,7,1.89
1.4397947662958688,-0.429655581846651,7,1.89
1.5034105684155716,-0.4338039024016932,7,1.89
1.567000901380944,-0.4382484813364687,7,1.89
1.6305791940386074,-0.4428477119723706,7,1.89
1.694152504900249,-0.4475177502895714,7,1.89
1.7577235070054835,-0.45222076617203333,7,1.89
1.8212948733939298,-0.45691892950371893,7,1.89
1.884869277105197,-0.4615744101685903,7,1.89
1.948449391178903,-0.46614937805060974,7,1.89
